date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:45:46	2364/2364	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Aug%202026%2001:45:47%20GMT	https://plausible.io/js/script.manual.js	C:/My%20Web%20Sites/pagina_web_heart_avenue/plausible.io/js/script.manual.js	(from https://www.heartavenueassociation.com/)
20:45:47	2146/2146	---M-Z	200	added ('OK')	application/javascript	etag:%220aaa78dcc7f8faef9eb94edf7068f90b%22	https://assets.jwwb.nl/assets/website-rendering-i18n/en-AU.js?bust=08ed5d835ea1c6936afa	C:/My%20Web%20Sites/pagina_web_heart_avenue/assets.jwwb.nl/assets/website-rendering-i18n/en-AU1650.js	(from https://www.heartavenueassociation.com/)
20:45:47	6488/6488	---M-Z	200	added ('OK')	application/javascript	etag:%22eff879ecb8e46dabc5ce44d8630540a6%22	https://assets.jwwb.nl/assets/website-rendering/runtime.a2455a67aab510c8778e.js?bust=2b1f8035561513566faf	C:/My%20Web%20Sites/pagina_web_heart_avenue/assets.jwwb.nl/assets/website-rendering/runtime.a2455a67aab510c8778eca74.js	(from https://www.heartavenueassociation.com/)
20:45:47	303345/303345	---M-Z	200	added ('OK')	application/javascript	etag:%22738f5e29570dff2c0fe42cfc0b1daa59%22	https://assets.jwwb.nl/assets/website-rendering/964.a958855da07340f5fab3.js?bust=7f40a67c5d0bee8ef59b	C:/My%20Web%20Sites/pagina_web_heart_avenue/assets.jwwb.nl/assets/website-rendering/964.a958855da07340f5fab353e7.js	(from https://www.heartavenueassociation.com/)
20:45:47	88422/88422	---M-Z	200	added ('OK')	application/javascript	etag:%22751e73e31227e39b82819d0d2e20eb3e%22	https://assets.jwwb.nl/assets/website-rendering/main.d5ee86f0f55dc917c1cf.js?bust=5b306d9aae4916d88724	C:/My%20Web%20Sites/pagina_web_heart_avenue/assets.jwwb.nl/assets/website-rendering/main.d5ee86f0f55dc917c1cf0819.js	(from https://www.heartavenueassociation.com/)
20:45:48	180611/180611	---M-Z	200	added ('OK')	text/css	etag:%2297b22a88050ea7297dbcf7978b3f8822%22	https://assets.jwwb.nl/assets/website-rendering/main.9f53d3f25b11e60c5364.css?bust=bfb75e000769e3f6e027	C:/My%20Web%20Sites/pagina_web_heart_avenue/assets.jwwb.nl/assets/website-rendering/main.9f53d3f25b11e60c5364b63d.css	(from https://www.heartavenueassociation.com/)
20:45:48	97081/97081	---M-Z	200	added ('OK')	text/css	etag:%22b9744535347f6473a2e45773bba550d7%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/style.css?bust=1784360815	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/styleec5a.css	(from https://www.heartavenueassociation.com/)
20:45:48	7976/7976	---M--	200	added ('OK')	image/png	etag:%2278C5OFFqfuRrvBvHClxVa8mbpfXF9cAaDXaA78+NIHk%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/image-removebg-preview-3-high.png?enable-io=true&enable=upscale&height=70	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/image-removebg-preview-3-highe2ef.png	(from https://www.heartavenueassociation.com/)
20:45:50	58504/58504	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:49%20GMT	https://www.heartavenueassociation.com/cart	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/cart.html	(from https://www.heartavenueassociation.com/)
20:45:50	69170/69170	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:50%20GMT	https://www.heartavenueassociation.com/the-suite	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/the-suite.html	(from https://www.heartavenueassociation.com/)
20:45:51	66172/66172	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:51%20GMT	https://www.heartavenueassociation.com/volunteer	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/volunteer.html	(from https://www.heartavenueassociation.com/)
20:45:52	68623/68623	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:52%20GMT	https://www.heartavenueassociation.com/volunteer/remote-volunteer	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/volunteer/remote-volunteer.html	(from https://www.heartavenueassociation.com/)
20:45:53	75456/75456	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:53%20GMT	https://www.heartavenueassociation.com/volunteer/volunteer-in-peru	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/volunteer/volunteer-in-peru.html	(from https://www.heartavenueassociation.com/)
20:45:54	80687/80687	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:54%20GMT	https://www.heartavenueassociation.com/about-us-our-work/donate	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/about-us-our-work/donate.html	(from https://www.heartavenueassociation.com/)
20:45:55	80962/80962	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:55%20GMT	https://www.heartavenueassociation.com/blog-journalism	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/blog-journalism.html	(from https://www.heartavenueassociation.com/)
20:45:56	67797/67797	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:56%20GMT	https://www.heartavenueassociation.com/society-and-current-affairs	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/society-and-current-affairs.html	(from https://www.heartavenueassociation.com/)
20:45:57	79537/79537	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:57%20GMT	https://www.heartavenueassociation.com/arts-humanities-departament	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/arts-humanities-departament.html	(from https://www.heartavenueassociation.com/)
20:45:58	70656/70656	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:58%20GMT	https://www.heartavenueassociation.com/essays-departament-of-sociology	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/essays-departament-of-sociology.html	(from https://www.heartavenueassociation.com/)
20:45:59	67600/67600	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:45:59%20GMT	https://www.heartavenueassociation.com/department-of-science-and-innovation	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/department-of-science-and-innovation.html	(from https://www.heartavenueassociation.com/)
20:46:00	64932/64932	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:46:00%20GMT	https://www.heartavenueassociation.com/department-of-pedagogy-and-education	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/department-of-pedagogy-and-education.html	(from https://www.heartavenueassociation.com/)
20:46:01	69070/69070	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:46:01%20GMT	https://www.heartavenueassociation.com/blog-journalism/latest-news-programs	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/blog-journalism/latest-news-programs.html	(from https://www.heartavenueassociation.com/)
20:46:02	97931/97931	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:46:02%20GMT	https://www.heartavenueassociation.com/about-us-our-work	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/about-us-our-work.html	(from https://www.heartavenueassociation.com/)
20:46:03	470/470	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Aug%202026%2001:46:03%20GMT	https://www.heartavenueassociation.com/our-work-impact	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/our-work-impact.1e.delayed	(from https://www.heartavenueassociation.com/)
20:46:04	72432/72432	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:46:04%20GMT	https://www.heartavenueassociation.com/about-us-our-work/work-reports	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/about-us-our-work/work-reports.html	(from https://www.heartavenueassociation.com/)
20:46:05	88021/88021	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:46:05%20GMT	https://www.heartavenueassociation.com/about-us-our-work/our-history-team	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/about-us-our-work/our-history-team.html	(from https://www.heartavenueassociation.com/)
20:46:06	121191/121191	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:46:06%20GMT	https://www.heartavenueassociation.com/about-us-our-work/partnerships	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/about-us-our-work/partnerships.html	(from https://www.heartavenueassociation.com/)
20:46:07	73163/73163	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:46:07%20GMT	https://www.heartavenueassociation.com/digital-library	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/digital-library.html	(from https://www.heartavenueassociation.com/)
20:46:08	119677/119677	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:46:08%20GMT	https://www.heartavenueassociation.com/digital-library/storybooks	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/digital-library/storybooks.html	(from https://www.heartavenueassociation.com/)
20:46:09	74296/74296	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:46:09%20GMT	https://www.heartavenueassociation.com/digital-library/academic-library	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/digital-library/academic-library.html	(from https://www.heartavenueassociation.com/)
20:46:10	58374/58374	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Aug%202026%2001:46:10%20GMT	https://www.heartavenueassociation.com/wishlist	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/wishlist.html	(from https://www.heartavenueassociation.com/)
20:46:11	58785/58785	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:46:11%20GMT	https://www.heartavenueassociation.com/'https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/image-standard-0vijwh.png?enable-io=true&fit=bounds&width=1920&height=1920'	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/'https_/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/image-standard-0vijwh.260450.delayed	(from https://www.heartavenueassociation.com/)
20:46:12	59041/59041	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:46:12%20GMT	https://www.heartavenueassociation.com/'https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/pasted-image-sun-jun-28-2026-03-50-02-gmt-0500-colombia-standard-time-standard-m0j1eh.png?enable-io=true&fit=bounds&width=1920&height=1920'	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/'https_/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/pasted-image-sun-jun-28-2026-03-50-02-gmt-0500-colombia-standard-time-standard-m0j1eh.270450.delayed	(from https://www.heartavenueassociation.com/)
20:46:13	59041/59041	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:46:13%20GMT	https://www.heartavenueassociation.com/'https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/pasted-image-sun-jun-28-2026-03-57-25-gmt-0500-colombia-standard-time-standard-xuijte.png?enable-io=true&fit=bounds&width=1920&height=1920'	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/'https_/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/pasted-image-sun-jun-28-2026-03-57-25-gmt-0500-colombia-standard-time-standard-xuijte.280450.delayed	(from https://www.heartavenueassociation.com/)
20:46:13	0/-1	---M--	301	error ('')			https://www.heartavenueassociation.com/our-work-impact	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/our-work-impact.29.delayed	(from https://www.heartavenueassociation.com/)
20:46:13	192747/192747	---M--	200	added ('OK')	image/jpeg	etag:%22YfPbYNO2rGa4ZDgqkVBIArNxpUNeZR6Jjod8wMhzO7o%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/grace-ground-came-together-to-make-a-difference-for-the-children-at-johannesburg-children-s-home-high.jpg	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/grace-ground-came-together-to-make-a-difference-for-the-children-at-johannesburg-children-s-home-high.jpg	(from https://www.heartavenueassociation.com/)
20:46:14	58805/58805	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:46:14%20GMT	https://www.heartavenueassociation.com/grace-ground-came-together-to-make-a-difference-for-the-children-at-johannesburg-children-s-home-standard.jpg	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/grace-ground-came-together-to-make-a-difference-for-the-children-at-johannesburg-children-s-home-standard.2b.delayed	(from https://www.heartavenueassociation.com/)
20:46:15	114126/114126	---M--	200	added ('OK')	image/jpeg	etag:%22UOCwvkiLOgvqHwL5M7f7pDBt7ULGNqoYhuSG7AZpZXk%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/grace-ground-came-together-to-make-a-difference-for-the-children-at-johannesburg-children-s-home-high.jpg?enable-io=true&enable=upscale&crop=1%3A1&width=800	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/grace-ground-came-together-to-make-a-difference-for-the-children-at-johannesburg-children-s-home-high1e22.jpg	(from https://www.heartavenueassociation.com/)
20:46:15	157723/157723	---M--	200	added ('OK')	image/jpeg	etag:%22+yUZjEGA8iHUvfkkmooCI85D6a8UUm4K00c3jJc69TI%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/our-team-interacting-with-the-children-at-american-mission-hospital-1-high.jpg	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/our-team-interacting-with-the-children-at-american-mission-hospital-1-high.jpg	(from https://www.heartavenueassociation.com/)
20:46:16	58697/58697	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:46:16%20GMT	https://www.heartavenueassociation.com/our-team-interacting-with-the-children-at-american-mission-hospital-1-standard.jpg	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/our-team-interacting-with-the-children-at-american-mission-hospital-1-standard.2e.delayed	(from https://www.heartavenueassociation.com/)
20:46:16	77309/77309	---M--	200	added ('OK')	image/jpeg	etag:%22koaD2h0NDar2Wy4ecUndupIwKuekYqaxBCBnEEg+llY%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/our-team-interacting-with-the-children-at-american-mission-hospital-1-high.jpg?enable-io=true&enable=upscale&crop=1%3A1&width=800	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/our-team-interacting-with-the-children-at-american-mission-hospital-1-high1e22.jpg	(from https://www.heartavenueassociation.com/)
20:46:16	202408/202408	---M--	200	added ('OK')	image/jpeg	etag:%22CMIVtJ55OQJxdyIcbCGEQGxJgwXVQYbkiRmbFy99k+8%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/our-team-interacting-with-the-children-at-american-mission-hospital-high.jpg	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/our-team-interacting-with-the-children-at-american-mission-hospital-high.jpg	(from https://www.heartavenueassociation.com/)
20:46:18	58689/58689	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:46:18%20GMT	https://www.heartavenueassociation.com/our-team-interacting-with-the-children-at-american-mission-hospital-standard.jpg	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/our-team-interacting-with-the-children-at-american-mission-hospital-standard.31.delayed	(from https://www.heartavenueassociation.com/)
20:46:18	102989/102989	---M--	200	added ('OK')	image/jpeg	etag:%227ieZXfmiO0eBIZ8ME0StE6Sos1r/EkBHfN3tYqOvxf0%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/our-team-interacting-with-the-children-at-american-mission-hospital-high.jpg?enable-io=true&enable=upscale&crop=1%3A1&width=800	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/our-team-interacting-with-the-children-at-american-mission-hospital-high1e22.jpg	(from https://www.heartavenueassociation.com/)
20:46:18	64143/64143	---M--	200	added ('OK')	image/jpeg	etag:%22s/VEHGHthflkFrf1Y2JnOC/fqxBASFa9Te6v7shXxac%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/573327945_17856830895545722_5307178971688650558_n-high.jpg	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/573327945_17856830895545722_5307178971688650558_n-high.jpg	(from https://www.heartavenueassociation.com/)
20:46:19	58617/58617	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:46:19%20GMT	https://www.heartavenueassociation.com/573327945_17856830895545722_5307178971688650558_n-standard.jpg	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/573327945_17856830895545722_5307178971688650558_n-standard.34.delayed	(from https://www.heartavenueassociation.com/)
20:46:19	85534/85534	---M--	200	added ('OK')	image/jpeg	etag:%22sa4OH0DHty6Zm5XYWPBMzN0z4bjZw8DVUVbCea8tcqQ%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/573327945_17856830895545722_5307178971688650558_n-high.jpg?enable-io=true&enable=upscale&crop=1%3A1&width=800	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/573327945_17856830895545722_5307178971688650558_n-high1e22.jpg	(from https://www.heartavenueassociation.com/)
20:46:20	4353127/4353127	---M--	200	added ('OK')	image/png	etag:%22sK5GzM1TK+jPs4aQ3pdYxz6/Mw8UgaQJofAGV3Epm1g%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/edelweiss-doc-1-high.png	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/edelweiss-doc-1-high.png	(from https://www.heartavenueassociation.com/)
20:46:21	58481/58481	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:46:21%20GMT	https://www.heartavenueassociation.com/edelweiss-doc-1-standard.png	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/edelweiss-doc-1-standard.37.delayed	(from https://www.heartavenueassociation.com/)
20:46:21	919851/919851	---M--	200	added ('OK')	image/png	etag:%220IlpRY250feUeM4xHdc0qX3x0SJIvLENazXB/j89Wy0%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/edelweiss-doc-1-high.png?enable-io=true&enable=upscale&crop=1%3A1&width=800	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/edelweiss-doc-1-high1e22.png	(from https://www.heartavenueassociation.com/)
20:46:21	336129/336129	---M--	200	added ('OK')	image/png	etag:%22w2xVexbgkQT/6d2hXuoDzE44UXwoqpiwOUFfprkG8js%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/edelweiss-doc-high.png	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/edelweiss-doc-high.png	(from https://www.heartavenueassociation.com/)
20:46:23	58473/58473	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Aug%202026%2001:46:22%20GMT	https://www.heartavenueassociation.com/edelweiss-doc-standard.png	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/edelweiss-doc-standard.3a.delayed	(from https://www.heartavenueassociation.com/)
20:46:23	780532/780532	---M--	200	added ('OK')	image/png	etag:%22t7AjdyXzYzKPMWzFlMJU2CORLnTShBWamXIwWnbi03o%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/edelweiss-doc-high.png?enable-io=true&enable=upscale&crop=1%3A1&width=800	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/edelweiss-doc-high1e22.png	(from https://www.heartavenueassociation.com/)
20:46:23	176507/176507	---M--	200	added ('OK')	image/png	etag:%22CWXLEUebzF2rpGH+OOKYg0ScE3PayZ7RoorGZe8Qia0%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/image-high.png?enable-io=true&enable=upscale&crop=1.483%3A1%2Coffset-x57&width=800	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/image-high0a58.png	(from https://www.heartavenueassociation.com/)
20:46:23	399099/399099	---M--	200	added ('OK')	image/png	etag:%22973+Npha1F88W3Ne14iKuEGnK+AilSBN5GA95ptOY44%22	https://primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/pasted-image-sun-jun-28-2026-03-31-32-gmt-0500-colombia-standard-time-standard.png	C:/My%20Web%20Sites/pagina_web_heart_avenue/primary.jwwb.nl/public/s/d/n/temp-wkqkzshgrmmennlcbgpe/pasted-image-sun-jun-28-2026-03-31-32-gmt-0500-colombia-standard-time-standard.png	(from https://www.heartavenueassociation.com/)
20:46:24	438/438	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Aug%202026%2001:46:24%20GMT	https://www.heartavenueassociation.com/programas-de-voluntariado	C:/My%20Web%20Sites/pagina_web_heart_avenue/www.heartavenueassociation.com/programas-de-voluntariado.3e.delayed	(from https://www.heartavenueassociation.com/)
20:46:24	237/237	---M-Z	200	added ('OK')	image/svg+xml	etag:%221cad5b26ee89c47c8c9747810cce531e%22	https://assets.jwwb.nl/assets/website-rendering/module-files/flag-icons/flags/4x3/at.svg?bust=8dc68995ec419a9440a2	C:/My%20Web%20Sites/pagina_web_heart_avenue/assets.jwwb.nl/assets/website-rendering/module-files/flag-icons/flags/4x3/at71fb.svg	(from https://assets.jwwb.nl/assets/website-rendering/main.9f53d3f25b11e60c5364.css?bust=bfb75e000769e3f6e027)
